model,feature,importance
Decision Tree Regressor,B17001_037E,0.005248953060705888
Decision Tree Regressor,masters_degree,0.004816606348485919
Decision Tree Regressor,B17001_009E,0.0031700497246264525
Decision Tree Regressor,B02001_005E,0.002504172353204415
Decision Tree Regressor,B02001_003E,0.002322789722741027
Decision Tree Regressor,B17001_022E,0.0014934091023463603
Decision Tree Regressor,B25001_001E,0.0013714911320503037
Decision Tree Regressor,B17001_027E,0.0012621746199502236
Decision Tree Regressor,B17001_045E,0.0012017510580342393
Decision Tree Regressor,B17001_015E,0.0006547989422954607
Decision Tree Regressor,B01001_017E,0.0
Decision Tree Regressor,B01001_018E,0.0
Decision Tree Regressor,B01001_021E,0.0
Decision Tree Regressor,B01001_022E,0.0
Decision Tree Regressor,B01001_023E,0.0
Decision Tree Regressor,B01001_024E,0.0
Decision Tree Regressor,B01001_025E,0.0
Decision Tree Regressor,B01001_026E,0.0
Decision Tree Regressor,B01001_019E,0.0
Decision Tree Regressor,B01001_020E,0.0
Decision Tree Regressor,B01001_013E,0.0
Decision Tree Regressor,B01001_014E,0.0
Decision Tree Regressor,B01001_015E,0.0
Decision Tree Regressor,B01001_016E,0.0
Decision Tree Regressor,B01001_001E,0.0
Decision Tree Regressor,B01001_002E,0.0
Decision Tree Regressor,B01001_003E,0.0
Decision Tree Regressor,B01001_004E,0.0
Decision Tree Regressor,B01001_005E,0.0
Decision Tree Regressor,B01001_006E,0.0
Decision Tree Regressor,B01001_007E,0.0
Decision Tree Regressor,B01001_008E,0.0
Decision Tree Regressor,B01001_009E,0.0
Decision Tree Regressor,B01001_010E,0.0
Decision Tree Regressor,B01001_011E,0.0
Decision Tree Regressor,B01001_012E,0.0
Decision Tree Regressor,B01001_044E,0.0
Decision Tree Regressor,B01001_043E,0.0
Decision Tree Regressor,B01001_042E,0.0
Decision Tree Regressor,B01001_041E,0.0
Decision Tree Regressor,B01001_040E,0.0
Decision Tree Regressor,B01001_039E,0.0
Decision Tree Regressor,B01001_038E,0.0
Decision Tree Regressor,B01001_037E,0.0
Decision Tree Regressor,B01001_036E,0.0
Decision Tree Regressor,B01001_035E,0.0
Decision Tree Regressor,B01001_034E,0.0
Decision Tree Regressor,B01001_033E,0.0
Decision Tree Regressor,B01001_032E,0.0
Decision Tree Regressor,B01001_031E,0.0
Decision Tree Regressor,B01001_030E,0.0
Decision Tree Regressor,B01001_029E,0.0
Decision Tree Regressor,B01001_028E,0.0
Decision Tree Regressor,B01001_027E,0.0
Decision Tree Regressor,B15003_001E,0.0
Decision Tree Regressor,B15003_002E,0.0
Decision Tree Regressor,B15003_006E,0.0
Decision Tree Regressor,B15003_007E,0.0
Decision Tree Regressor,B15003_004E,0.0
Decision Tree Regressor,B15003_003E,0.0
Decision Tree Regressor,B02001_002E,0.0
Decision Tree Regressor,B02001_004E,0.0
Decision Tree Regressor,B02001_006E,0.0
Decision Tree Regressor,B01001_047E,0.0
Decision Tree Regressor,B01001_048E,0.0
Decision Tree Regressor,B01001_049E,0.0
Decision Tree Regressor,B02001_001E,0.0
Decision Tree Regressor,B01001_045E,0.0
Decision Tree Regressor,B15003_017E,0.0
Decision Tree Regressor,B15003_016E,0.0
Decision Tree Regressor,B15003_015E,0.0
Decision Tree Regressor,B15003_014E,0.0
Decision Tree Regressor,B15003_013E,0.0
Decision Tree Regressor,B15003_021E,0.0
Decision Tree Regressor,B15003_018E,0.0
Decision Tree Regressor,B15003_019E,0.0
Decision Tree Regressor,B19013_001E,0.0
Decision Tree Regressor,B17001_001E,0.0
Decision Tree Regressor,B17001_002E,0.0
Decision Tree Regressor,B17001_003E,0.0
Decision Tree Regressor,B17001_004E,0.0
Decision Tree Regressor,B15003_020E,0.0
Decision Tree Regressor,B15003_023E,0.0
Decision Tree Regressor,B15003_022E,0.0
Decision Tree Regressor,B17001_007E,0.0
Decision Tree Regressor,B17001_006E,0.0
Decision Tree Regressor,B17001_005E,0.0
Decision Tree Regressor,B17001_010E,0.0
Decision Tree Regressor,B17001_011E,0.0
Decision Tree Regressor,B17001_012E,0.0
Decision Tree Regressor,B15003_008E,0.0
Decision Tree Regressor,B15003_005E,0.0
Decision Tree Regressor,B15003_009E,0.0
Decision Tree Regressor,B15003_010E,0.0
Decision Tree Regressor,B15003_012E,0.0
