county_fips,state,county_name,party_winner,dem_vote_share,kmeans_cluster,agglomerative_cluster,pca_1,pca_2
21211,KENTUCKY,SHELBY,0,0.3430464701384759,0,0,1.4878416315050937,-0.11991106202104354
21213,KENTUCKY,SIMPSON,0,0.3070316078790655,0,2,-0.6056322012504208,0.6741521889279007
21215,KENTUCKY,SPENCER,0,0.2213666987487969,0,2,1.769439911231296,0.628408391771817
21217,KENTUCKY,TAYLOR,0,0.2366906474820143,0,2,-0.0735144061031635,0.5795798341066355
21219,KENTUCKY,TODD,0,0.2246309101102597,0,2,-1.3225739646865298,0.8618364159463942
21221,KENTUCKY,TRIGG,0,0.2428474576271186,0,2,-0.6911610579064253,0.5127895752738746
21223,KENTUCKY,TRIMBLE,0,0.234313498495022,0,2,-1.0693031702254818,0.8117334800890667
21225,KENTUCKY,UNION,0,0.2325121654501216,0,2,-1.2499438729362349,0.5628743130543163
21227,KENTUCKY,WARREN,0,0.4060811909450597,1,2,0.4822252218803828,-1.087520115826873
21229,KENTUCKY,WASHINGTON,0,0.2641812630564036,0,2,-0.029195015847453532,0.7444417050033907
21231,KENTUCKY,WAYNE,0,0.1839826839826839,0,2,-1.453509544094785,1.1927811089323719
21233,KENTUCKY,WEBSTER,0,0.2356868636287765,0,2,-1.2061200871241207,1.304955217427169
21235,KENTUCKY,WHITLEY,0,0.1662865706652766,0,2,-0.9896906670419556,0.8630930255057491
21237,KENTUCKY,WOLFE,0,0.2816381336018798,2,1,-6.1556599723017635,-0.09041600321138922
21239,KENTUCKY,WOODFORD,0,0.4292945894418513,0,0,1.7234600660212234,0.28624517560568463
22001,LOUISIANA,ACADIA,0,0.1914863676341248,2,2,-2.261815073612506,-0.5414771848545947
22003,LOUISIANA,ALLEN,0,0.2148827726809378,2,2,-1.4381542265253122,-0.30372269155898673
22005,LOUISIANA,ASCENSION,0,0.3273004412354592,1,0,0.9743557046465057,-1.6299217852427144
22007,LOUISIANA,ASSUMPTION,0,0.3411659991099243,2,1,-1.901215314721961,-0.40920006294214273
22009,LOUISIANA,AVOYELLES,0,0.2879366180892898,2,1,-2.531434812798461,-0.6586902448569585
22011,LOUISIANA,BEAUREGARD,0,0.1554074708076053,0,2,-0.8152601585918369,-0.04436751628527611
22013,LOUISIANA,BIENVILLE,0,0.4350354609929078,2,1,-3.8639786250338872,-0.9222226480018059
22015,LOUISIANA,BOSSIER,0,0.2865611563443417,0,1,-0.3262850034586024,-1.3527977220015879
22017,LOUISIANA,CADDO,1,0.5252973921000458,2,1,-2.4699775040228222,-3.036225892287611
22019,LOUISIANA,CALCASIEU,0,0.3143123283694035,2,1,-0.731161062157029,-1.4724035626768033
22021,LOUISIANA,CALDWELL,0,0.1564468710625787,2,2,-2.5470672144271154,0.055368666983977154
22023,LOUISIANA,CAMERON,0,0.0802178757118098,0,2,0.7844008753504076,1.7082201634026026
22025,LOUISIANA,CATAHOULA,0,0.2612186084808563,2,1,-2.8379699204800293,-0.6492987342022484
22027,LOUISIANA,CLAIBORNE,0,0.4150455927051671,2,1,-4.125271579489229,-1.4632150634719168
22029,LOUISIANA,CONCORDIA,0,0.3598776619845945,2,1,-3.7697736815082052,-1.3900707970120147
22031,LOUISIANA,DE SOTO,0,0.3703175895765472,2,1,-2.8992792261914655,-1.3107497871990426
22033,LOUISIANA,EAST BATON ROUGE,1,0.5551728775782728,2,1,-0.8170006241436187,-3.7361008258282054
22035,LOUISIANA,EAST CARROLL,1,0.6258234519104084,2,1,-5.6221198722074055,-2.3370054795507094
22037,LOUISIANA,EAST FELICIANA,0,0.407269959082691,2,1,-1.7452821516765367,-1.39625803478746
22039,LOUISIANA,EVANGELINE,0,0.2697897742019206,2,1,-4.1400619950160715,-1.2588648808832936
22041,LOUISIANA,FRANKLIN,0,0.2734567901234568,2,1,-3.425476369484225,-0.8241239846914282
22043,LOUISIANA,GRANT,0,0.1231899488926746,0,2,-0.7668500484727022,0.47159483913182837
22045,LOUISIANA,IBERIA,0,0.3370831168037171,2,1,-2.272355558498759,-1.961074874822253
22047,LOUISIANA,IBERVILLE,1,0.5092409833123991,2,1,-2.614776121493644,-2.1472232282822423
22049,LOUISIANA,JACKSON,0,0.2807914046121593,2,1,-1.9129468838632524,-0.2858636234397504
22051,LOUISIANA,JEFFERSON,0,0.4360485823272235,1,1,-0.05028977864340115,-2.609483881468551
22053,LOUISIANA,JEFFERSON DAVIS,0,0.216157940839566,2,2,-1.5073951927235094,-0.09868345201701062
22055,LOUISIANA,LAFAYETTE,0,0.346530330681709,1,1,0.07561537674258809,-1.9553287719157655
22057,LOUISIANA,LAFOURCHE,0,0.191063717282101,0,1,-0.8380239301113839,-0.5153842439199722
22059,LOUISIANA,LA SALLE,0,0.0901511940087607,0,2,-0.5707500488132047,0.5082909893035359
22061,LOUISIANA,LINCOLN,0,0.392166018158236,2,1,-2.526990503528402,-1.967293865371796
22063,LOUISIANA,LIVINGSTON,0,0.1417905871531504,0,0,0.8199552373904877,-0.08988085880584545
22065,LOUISIANA,MADISON,1,0.5683083511777302,2,1,-5.145804644570256,-2.6619537839064686
22067,LOUISIANA,MOREHOUSE,0,0.4273371349576637,2,1,-3.6179933108257263,-1.6015642897181617
